Datetime,Ticker,High,Low,Source
2026-05-21 9:30,MSFT,426.24,415.72,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-21 10:30,MSFT,418.99,416.28,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-21 11:30,MSFT,419.03,416.93,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-21 12:30,MSFT,418.05,416.01,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-21 13:30,MSFT,420.28,417.34,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-21 14:30,MSFT,419.81,418.04,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-21 15:30,MSFT,419.91,417.51,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-22 9:30,MSFT,424.4,416.32,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-22 10:30,MSFT,419.53,416.45,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-22 11:30,MSFT,420.47,418.25,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-22 12:30,MSFT,419.94,418.19,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-22 13:30,MSFT,419.35,417.24,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-22 14:30,MSFT,419.9,418.3,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-22 15:30,MSFT,418.94,418.03,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-26 9:30,MSFT,419.77,413.13,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-26 10:30,MSFT,419.2,414.16,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-26 11:30,MSFT,416.4,414.48,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-26 12:30,MSFT,416.21,413.33,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-26 13:30,MSFT,415.84,413.04,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-26 14:30,MSFT,415.88,414.6,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-26 15:30,MSFT,416.34,415.28,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-27 9:30,MSFT,415.95,409.57,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-27 10:30,MSFT,415.71,412.66,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-27 11:30,MSFT,413.39,412.4,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-27 12:30,MSFT,414.07,411.22,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-27 13:30,MSFT,412.78,411.39,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-27 14:30,MSFT,413.47,411.38,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-27 15:30,MSFT,413.5,411.98,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-28 9:30,MSFT,429.47,412.75,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-28 10:30,MSFT,425.87,422.23,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-28 11:30,MSFT,426.43,423.92,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-28 12:30,MSFT,426.53,422.72,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-28 13:30,MSFT,429.16,425.81,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-28 14:30,MSFT,427.25,425.62,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-28 15:30,MSFT,427.02,424.95,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-29 9:30,MSFT,443.47,432.36,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-29 10:30,MSFT,445.64,439.77,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-29 11:30,MSFT,444.6,442.11,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-29 12:30,MSFT,444.98,442.58,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-29 13:30,MSFT,444.06,441.84,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-29 14:30,MSFT,443.78,441.37,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-05-29 15:30,MSFT,450.32,442.54,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-01 9:30,MSFT,466.33,458.93,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-01 10:30,MSFT,463.44,459.16,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-01 11:30,MSFT,463.9,459.21,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-01 12:30,MSFT,462.43,459.6,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-01 13:30,MSFT,461.66,458.27,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-01 14:30,MSFT,464.1,460.1,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-01 15:30,MSFT,464.15,460.02,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-02 9:30,MSFT,453.5,443.51,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-02 10:30,MSFT,445.2,442.35,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-02 11:30,MSFT,446.21,443.16,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
2026-06-02 12:30,MSFT,445.9,442.4,"hourly-archive (pre-deletion snapshot, rescued 2026-07-16)"
